,leadtime,NAO+,NAO-,SB,AR,weighted mean
0,0,0.6857142857142857,0.7651006711409396,0.7075471698113207,0.7456140350877193,0.7326468026126742
0,1,0.6711711711711712,0.7743055555555556,0.7136150234741784,0.7466666666666667,0.7337609245710843
0,2,0.6163793103448276,0.672077922077922,0.6008771929824561,0.6594827586206896,0.6418096597675854
0,3,0.6153846153846154,0.65814696485623,0.5304347826086957,0.6291666666666667,0.612489082481489
0,4,0.5672268907563025,0.6277602523659306,0.4831932773109244,0.5983935742971888,0.5744966733976328
0,5,0.5269709543568465,0.5828220858895705,0.4605809128630705,0.5538461538461539,0.5363266061029508
0,6,0.4939271255060729,0.5309734513274337,0.41700404858299595,0.5,0.4893197323198914
0,7,0.45,0.5113636363636364,0.38735177865612647,0.4559386973180077,0.4571555145376314
0,8,0.42435424354243545,0.45901639344262296,0.2981132075471698,0.41353383458646614,0.4014868980478525
0,9,0.4014336917562724,0.42328042328042326,0.2813688212927757,0.3800738007380074,0.37445454810887874
0,10,0.38461538461538464,0.43617021276595747,0.27340823970037453,0.34814814814814815,0.3649142706847237
0,11,0.3377049180327869,0.3984375,0.23247232472324722,0.32234432234432236,0.3268884206227725
0,12,0.3173076923076923,0.3772609819121447,0.16967509025270758,0.3006993006993007,0.2967218783219211
0,13,0.3186119873817035,0.37084398976982097,0.1590909090909091,0.288135593220339,0.2898244248233276
0,14,0.30120481927710846,0.3483709273182957,0.15471698113207547,0.2508591065292096,0.2690017720053412
0,15,0.29394812680115273,0.3240506329113924,0.14338235294117646,0.20608108108108109,0.24528297892237824
0,16,0.28530259365994237,0.3333333333333333,0.12781954887218044,0.24398625429553264,0.2537142352119118
0,17,0.28160919540229884,0.32598039215686275,0.13793103448275862,0.2361111111111111,0.24985810836810193
0,18,0.2598870056497175,0.30528846153846156,0.11152416356877323,0.18518518518518517,0.21870216195243694
0,19,0.25675675675675674,0.29594272076372313,0.08208955223880597,0.1875,0.2103495583871985
0,20,0.2578125,0.27923627684964203,0.06666666666666667,0.1750841750841751,0.19850647636784147
0,21,0.2625994694960212,0.2934272300469484,0.07251908396946564,0.16083916083916083,0.20234991302225092
0,22,0.24155844155844156,0.24361948955916474,0.08614232209737828,0.14675767918088736,0.18113524640464468
0,23,0.23834196891191708,0.2546728971962617,0.08461538461538462,0.13953488372093023,0.18291412696196882
0,24,0.22797927461139897,0.23732718894009217,0.08646616541353383,0.13712374581939799,0.17343244015083925
0,25,0.21038961038961038,0.2488479262672811,0.1044776119402985,0.13513513513513514,0.17778491599351892
0,26,0.22955145118733508,0.26376146788990823,0.0946969696969697,0.1597222222222222,0.19042536125693382
0,27,0.2361111111111111,0.2534246575342466,0.10357142857142858,0.13851351351351351,0.18474214841780828
0,28,0.20316622691292877,0.26869158878504673,0.11235955056179775,0.12786885245901639,0.18371892628711686
0,29,0.20304568527918782,0.25,0.09022556390977443,0.1180327868852459,0.16943769112712917
0,30,0.19948849104859334,0.2545045045045045,0.09961685823754789,0.11604095563139932,0.1734196463234386
0,31,0.20526315789473684,0.2544642857142857,0.09811320754716982,0.11148648648648649,0.1716128110793426
0,32,0.19689119170984457,0.2698412698412698,0.11627906976744186,0.13013698630136986,0.1841765209793843
0,33,0.18324607329842932,0.23478260869565218,0.0916030534351145,0.12837837837837837,0.1638870180122613
0,34,0.1989247311827957,0.23160173160173161,0.08455882352941177,0.12244897959183673,0.16272373461937525
0,35,0.183206106870229,0.22048997772828507,0.07420494699646643,0.11764705882352941,0.15193338766254183
0,36,0.1848101265822785,0.2106430155210643,0.0996309963099631,0.11945392491467577,0.15666344913389718
0,37,0.18701298701298702,0.23927765237020315,0.08664259927797834,0.1404109589041096,0.16859765580722358
0,38,0.16752577319587628,0.2242562929061785,0.0873015873015873,0.11971830985915492,0.15510572250858481
0,39,0.20844327176781002,0.2158273381294964,0.07335907335907337,0.10915492957746478,0.15392703126665414
0,40,0.1825,0.24885844748858446,0.06818181818181818,0.11920529801324503,0.16045179416062055
